rank,puntv,leagv,puntplus,name,gp,mpg,pts,m3s,reb,ast,stl,blk,fg,fga,ft,fta,to,zpts,zm3s,zreb,zast,zstl,zblk,zfg,zft,zto
1,1.334190595,0.682368122,0.651822473,James Harden,81,36.37921811,29.08641975,3.234567901,8.172839506,11.18518519,1.50617284,0.456790123,0.439947781,18.91358025,0.84676504,10.87654321,5.703703704,2.424229702,2.102853169,0.946021937,3.672596844,1.275031186,-0.369743861,-1.049397377,1.67193316,-4.53221166
2,1.258795233,0.656324452,0.602470781,Russell Westbrook,81,34.58930041,31.58024691,2.469135802,10.71604938,10.38271605,1.666666667,0.382716049,0.424742268,23.95061728,0.845238095,10.37037037,5.382716049,2.849547073,1.266432349,1.909314127,3.309871515,1.686742445,-0.509058609,-1.994189322,1.551702284,-4.163441794
3,1.194554009,1.002204148,0.192349861,Kevin Durant,62,33.39301075,25.08064516,1.887096774,8.274193548,4.85483871,1.080645161,1.596774194,0.537037037,16.5483871,0.875,6.193548387,2.225806452,1.741052637,0.630413083,0.984411831,0.811207036,0.183434461,1.77428015,2.014114676,1.417518199,-0.53659474
4,1.071732607,0.869091555,0.202641053,Anthony Davis,75,36.10244444,27.98666667,0.533333333,11.96,2.106666667,1.28,2.24,0.504256713,20.36,0.802163833,8.626666667,2.413333333,2.236668952,-0.848902886,2.380485589,-0.430998506,0.694835012,2.984026505,1.259468499,0.298277694,-0.752036867
5,1.060153615,0.78229463,0.277858984,Stephen Curry,79,33.39978903,25.30379747,4.101265823,4.481012658,6.620253165,1.810126582,0.227848101,0.467775468,18.26582278,0.897790055,4.582278481,3.012658228,1.779110829,3.049931541,-0.452332167,1.609194784,2.054756988,-0.800326362,-0.085798385,1.32669169,-1.440577245
6,0.982373033,0.724346005,0.258027028,Giannis Antetokounmpo,80,35.563125,22.9,0.6125,8.75,5.425,1.65,1.875,0.521877486,15.7125,0.769607843,7.65,2.925,1.369147847,-0.762394039,1.16463315,1.068926532,1.643987814,2.297553084,1.477849599,-0.400719723,-1.339870217
7,0.91508471,0.707888838,0.207195873,Karl-Anthony Towns,82,36.96300813,25.13414634,1.231707317,12.24390244,2.682926829,0.719512195,1.256097561,0.541891892,18.04878049,0.831775701,5.219512195,2.585365854,1.75017716,-0.085759374,2.488019381,-0.170522249,-0.742971936,1.133552881,2.356377263,0.591804554,-0.949678143
8,0.884594751,0.746884176,0.137710575,Kawhi Leonard,74,33.43896396,25.51351351,1.986486486,5.783783784,3.5,1.756756757,0.72972973,0.485125858,17.71621622,0.879924953,7.202702703,2.067567568,1.814877493,0.739020529,0.041118752,0.198804273,1.917848557,0.143587057,0.477795572,1.743705777,-0.354800421
9,0.855950716,0.466120597,0.389830119,LeBron James,74,37.76441441,26.40540541,1.675675676,8.662162162,8.72972973,1.22972973,0.581081081,0.547619048,18.16216216,0.674199623,7.175675676,4.067567568,1.96698792,0.399384088,1.131362792,2.562702584,0.565877802,-0.135983754,2.560978913,-2.203704617,-2.652520354
10,0.829366726,0.654101646,0.17526508,Chris Paul,61,31.48852459,18.09836066,2.032786885,5.016393443,9.245901639,1.950819672,0.131147541,0.476433121,12.86885246,0.892307692,4.262295082,2.409836066,0.550237597,0.78961498,-0.249545864,2.796018256,2.415673854,-0.982195854,0.143688716,1.17144212,-0.748018996
