name,rank,pos,team,gp,mpg,pts,reb,ast,stl,blk,m3s,fgma,fg,ftma,ft,to,total
James Harden,1,PG/SG,HOU,81,36,28.5,7,9.2,1.6,0.6,3,8.3/18.9,0.44,8.9/10.3,0.86,5,13.38
Stephen Curry,2,PG/SG,GSW,78,33,26.3,4.7,6.6,1.9,0.2,4.3,8.9/18.5,0.48,4.2/4.6,0.91,3.1,13.2
Anthony Davis,3,PF/C,NOR,70,36,27.6,11.2,2.2,1.3,2.4,0.9,10.0/19.9,0.51,6.6/8.3,0.8,2.2,12.76
Russell Westbrook,4,PG,OKC,79,34.5,28.4,9.2,10.2,1.8,0.3,1.9,9.4/21.7,0.44,7.6/9.2,0.83,4.9,12.49
Kevin Durant,5,SF/PF,GSW,70,34,25.9,8.1,4.8,1,1.3,2.4,8.9/17.3,0.52,5.6/6.3,0.88,2.7,12.15
Karl-Anthony Towns,6,C,MIN,81,37,24.9,12.2,2.7,0.8,1.4,1.4,9.7/18.0,0.54,4.2/5.1,0.83,2.6,11.02
DeMarcus Cousins,7,PF/C,NOR,70,35,27.3,11.8,4.3,1.4,1.4,1.6,9.2/20.3,0.45,7.4/9.7,0.76,4,10.26
Kawhi Leonard,8,SG/SF,SAS,74,33.3,23.2,6.5,3.4,1.8,0.8,2.1,7.9/16.3,0.49,5.2/5.9,0.87,1.9,10.25
Giannis Antetokounmpo,9,SF/PF,MIL,81,36,23.3,8.5,5,1.5,1.6,0.6,8.8/17.1,0.51,5.2/6.9,0.76,2.8,9.81
Joel Embiid,10,PF/C,PHI,57,28,22.5,8.7,2.4,1,2.7,1.7,7.0/15.0,0.47,6.8/8.7,0.78,4.2,9.42
LeBron James,11,SF/PF,CLE,74,36,25.4,7.6,7.8,1.3,0.6,1.5,9.6/18.2,0.53,4.8/6.9,0.7,3.8,9.41
Chris Paul,12,PG,HOU,72,31,18.6,4.7,9.4,1.8,0.2,2,6.5/13.9,0.47,3.6/4.0,0.9,2.4,9.2
John Wall,13,PG,WAS,78,36.5,21.4,4.6,10.5,1.9,0.7,1.5,7.7/17.8,0.43,4.4/5.5,0.81,4.2,9.12
Jimmy Butler,14,SG/SF,MIN,71,37.5,23,5.9,4.8,1.7,0.5,1.4,7.3/16.0,0.46,6.9/8.1,0.85,1.9,8.32
Nikola Jokic,15,PF/C,DEN,75,30,17.2,10.3,5,1,0.8,1.3,6.5/11.8,0.55,2.9/3.6,0.82,2.4,8.15
Damian Lillard,16,PG,POR,75,36,26.1,4.6,6.6,1,0.3,3,8.6/19.9,0.43,6.0/6.7,0.89,2.9,7.81
Paul George,17,SF/PF,OKC,74,35,22.6,6.4,3.7,1.5,0.3,2.7,7.6/17.3,0.44,4.8/5.4,0.88,3,7.72
